2.98857e-06 0.241904 0.0751649 0.0684699 68.6064 78.9408 0.795867 6.63118
0 1371 6
0.35 0.366858 0.35 0.367458
0.35 0.367458 0.35 0.368058
0.35 0.368058 0.35 0.368658
0.35 0.368658 0.35 0.369259
0.35 0.369259 0.35 0.369859
0.35 0.369859 0.35 0.370459
0.35 0.370459 0.35 0.371059
0.35 0.371059 0.35 0.371659
0.35 0.371659 0.35 0.372259
0.35 0.372259 0.35 0.372859
0.35 0.372859 0.35 0.37346
0.35 0.37346 0.35 0.37406
0.35 0.37406 0.35 0.37466
0.35 0.37466 0.35 0.37526
0.35 0.37526 0.35 0.37586
0.35 0.37586 0.35 0.37646
0.35 0.37646 0.35 0.37706
0.35 0.37706 0.35 0.377661
0.35 0.377661 0.35 0.378261
0.35 0.378261 0.35 0.378861
0.35 0.378861 0.35 0.379461
0.35 0.379461 0.35 0.380061
0.35 0.380061 0.35 0.380661
0.35 0.380661 0.35 0.381261
0.35 0.381261 0.35 0.381861
0.35 0.381861 0.35 0.382461
0.35 0.382461 0.35 0.383061
0.35 0.383061 0.35 0.383661
0.35 0.383661 0.35 0.384261
0.35 0.384261 0.35 0.384861
0.35 0.384861 0.35 0.385461
0.35 0.385461 0.35 0.386062
0.35 0.386062 0.35 0.386662
0.35 0.386662 0.35 0.387262
0.35 0.387262 0.35 0.387862
0.35 0.387862 0.35 0.388462
0.35 0.388462 0.35 0.389062
0.35 0.389062 0.35 0.389662
0.35 0.389662 0.35 0.390262
0.35 0.390262 0.35 0.390862
0.35 0.390862 0.35 0.391462
0.35 0.391462 0.35 0.392062
0.35 0.392062 0.35 0.392662
0.35 0.392662 0.35 0.393262
0.35 0.393262 0.35 0.393862
0.35 0.393862 0.35 0.394462
0.35 0.394462 0.35 0.395062
0.35 0.395062 0.35 0.395662
0.35 0.395662 0.35 0.396262
0.35 0.396262 0.35 0.396862
0.35 0.396862 0.35 0.397462
0.35 0.397462 0.35 0.398062
0.35 0.398062 0.35 0.398663
0.35 0.398663 0.35 0.399263
0.35 0.399263 0.35 0.399863
0.35 0.399863 0.35 0.400463
0.35 0.400463 0.35 0.401063
0.35 0.401063 0.35 0.401663
0.35 0.401663 0.35 0.402263
0.35 0.402263 0.35 0.402862
0.35 0.402862 0.35 0.403462
0.35 0.403462 0.35 0.404062
0.35 0.404062 0.35 0.404662
0.35 0.404662 0.35 0.405262
0.35 0.405262 0.35 0.405862
0.35 0.405862 0.35 0.406462
0.35 0.406462 0.35 0.407062
0.35 0.407062 0.35 0.407662
0.35 0.407662 0.35 0.408262
0.35 0.408262 0.35 0.408862
0.35 0.408862 0.35 0.409462
0.35 0.409462 0.35 0.410062
0.35 0.410062 0.35 0.410662
0.35 0.410662 0.35 0.411262
0.35 0.411262 0.35 0.411862
0.35 0.411862 0.35 0.412462
0.35 0.412462 0.35 0.413062
0.35 0.413062 0.35 0.413662
0.35 0.413662 0.35 0.414262
0.35 0.414262 0.35 0.414862
0.35 0.414862 0.35 0.415462
0.35 0.415462 0.35 0.416062
0.35 0.416062 0.35 0.416661
0.35 0.416661 0.35 0.417261
0.35 0.417261 0.35 0.417861
0.35 0.417861 0.35 0.418461
0.35 0.418461 0.35 0.419061
0.35 0.419061 0.35 0.419661
0.35 0.419661 0.35 0.420261
0.35 0.420261 0.35 0.420861
0.35 0.420861 0.35 0.421461
0.35 0.421461 0.35 0.422061
0.35 0.422061 0.35 0.422661
0.35 0.422661 0.35 0.423261
0.35 0.423261 0.35 0.42386
0.35 0.42386 0.35 0.42446
0.35 0.42446 0.35 0.42506
0.35 0.42506 0.35 0.42566
0.35 0.42566 0.35 0.42626
0.35 0.42626 0.35 0.42686
0.35 0.42686 0.35 0.42746
0.35 0.42746 0.35 0.42806
0.35 0.42806 0.35 0.428659
0.35 0.428659 0.35 0.429259
0.35 0.429259 0.35 0.429859
